"par_1","par_2","par_3","par_4","par_5","par_6","par_7","par_8","par_9","par_10","par_11","par_12","par_13","par_14","par_15","par_16","par_17","par_18","par_19","par_20","par_21","par_22","par_23","par_24","par_25","par_26","par_27","par_28","par_mean","para_cont","para_exp","para_nl","con_1","con_2","con_3","con_4","con_5","con_mean","cred_1","cred_2","cred_3","cred_4","cred_5","cred_6","cred_mean","creds_cont","rel_spi","rel_cont","rel_group","rel_group_text","age","gender","education","urban","ses","mis","weight"
4,5,2,4,3,1,3,2,4,2,5,1,3,2,2,1,4,4,1,4,4,4,2,1,3,3,2,2,2.78571428571429,72,3,33,2,3,1,2,1,1.8,1,1,1,1,4,1,1.5,84,"not-religious-spiritual",70,1,"",79,"Vrouw",7,"other",8,FALSE,0.652551251238935
2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1.14285714285714,5,1,30,2,3,1,1,1,1.6,1,1,1,1,1,1,1,1,"religious-not-spiritual",30,2,"",77,"Man",4,"other",7,FALSE,0.362079348320956
3,3,1,3,2,1,3,1,1,1,1,1,2,1,1,1,5,1,2,1,1,1,4,1,3,1,3,1,1.78571428571429,22,3,19,3,2,1,1,1,1.6,1,1,1,1,1,1,1,3,"not-religious-spiritual",8,1,"",35,"Vrouw",8,"big cities",7,FALSE,0.817342976981836
4,5,2,3,5,3,4,3,3,4,4,1,4,4,3,1,4,2,3,2,2,1,4,1,4,2,4,5,3.10714285714286,91,3,71,5,5,4,3,4,4.2,1,3,1,1,2,1,1.5,71,"religious-spiritual",82,1,"",86,"Man",7,"other",6,FALSE,0.4627338045278
4,5,3,4,1,2,5,3,4,4,4,5,5,4,3,4,5,3,2,2,2,1,5,2,5,4,2,5,3.5,77,2,15,5,5,5,5,5,5,1,1,1,1,1,1,1,0,"not-religious-spiritual",10,7,"",68,"Vrouw",7,"other",7,FALSE,0.488243825752992
5,5,3,4,5,3,5,4,4,5,3,4,5,5,4,2,5,4,4,2,1,1,5,3,5,3,4,5,3.85714285714286,92,3,49,2,3,2,2,1,2,1,1,1,1,1,2,1.16666666666667,0,"not-religious-spiritual",6,8,"Ze hebben allemaal goede dingen en minder goede dingen",52,"Vrouw",6,"other",8,FALSE,0.822943755846558
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,67,2,2,2,1,1,1.6,1,1,1,1,1,1,1,58,"not-religious-spiritual",62,2,"",69,"Man",8,"other",8,FALSE,0.443332444661953
2,1,1,2,2,1,1,2,1,1,2,2,1,1,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1.35714285714286,16,1,39,2,2,1,1,1,1.4,1,1,1,1,1,1,1,6,"not-religious-not-spiritual",15,1,"",51,"Man",8,"other",8,FALSE,0.690386073124167
3,3,2,3,3,2,3,3,2,3,4,3,5,3,3,2,3,3,2,2,1,1,3,2,3,3,2,2,2.64285714285714,40,1,70,4,3,3,3,4,3.4,1,1,1,1,1,2,1.16666666666667,50,"not-religious-not-spiritual",20,1,"",55,"Vrouw",6,"other",7,FALSE,0.228326234029075
1,2,3,1,3,1,3,4,4,3,4,1,3,1,4,1,3,1,1,1,1,1,3,1,4,1,1,2,2.10714285714286,20,1,61,4,2,1,1,2,2,1,1,1,1,1,1,1,5,"not-religious-spiritual",29,2,"",54,"Vrouw",7,"other",6,FALSE,0.247447625957991
